CBS code,Naam,Name,Value
15,Grootegast,Eligible Votes,6886
1729,Gulpen-Wittem,Eligible Votes,9470
158,Haaksbergen,Eligible Votes,14580
788,Haaren,Eligible Votes,7968
392,Haarlem,Eligible Votes,85981
393,Haarlemmerliede en Spaarnwoude,Eligible Votes,3423
394,Haarlemmermeer,Eligible Votes,80393
1655,Halderberge,Eligible Votes,16124
160,Hardenberg,Eligible Votes,35195
243,Harderwijk,Eligible Votes,26444
523,Hardinxveld-Giessendam,Eligible Votes,10789
17,Haren,Eligible Votes,12327
395,Harenkarspel,Eligible Votes,9177
72,Harlingen,Eligible Votes,9085
244,Hattem,Eligible Votes,7319
396,Heemskerk,Eligible Votes,22453
397,Heemstede,Eligible Votes,16716
246,Heerde,Eligible Votes,11212
74,Heerenveen,Eligible Votes,25460
398,Heerhugowaard,Eligible Votes,28640
917,Heerlen,Eligible Votes,46366
1658,Heeze-Leende,Eligible Votes,9446
399,Heiloo,Eligible Votes,14449
163,Hellendoorn,Eligible Votes,21891
530,Hellevoetsluis,Eligible Votes,21546
794,Helmond,Eligible Votes,42999
531,Hendrik-Ido-Ambacht,Eligible Votes,16604
164,Hengelo,Eligible Votes,46462
63,Het Bildt,Eligible Votes,5910
252,Heumen,Eligible Votes,10264
797,Heusden,Eligible Votes,24581
534,Hillegom,Eligible Votes,12238
798,Hilvarenbeek,Eligible Votes,9184
402,Hilversum,Eligible Votes,48452
1735,Hof van Twente,Eligible Votes,21931
1911,Hollands Kroon,Eligible Votes,27198
118,Hoogeveen,Eligible Votes,31314
18,Hoogezand-Sappemeer,Eligible Votes,18878
405,Hoorn,Eligible Votes,39084
1507,Horst aan de Maas,Eligible Votes,23769
321,Houten,Eligible Votes,28819
406,Huizen,Eligible Votes,24850
677,Hulst,Eligible Votes,14346
353,IJsselstein,Eligible Votes,19292
1884,Kaag en Braassem,Eligible Votes,16002
166,Kampen,Eligible Votes,29882
678,Kapelle,Eligible Votes,7629
537,Katwijk,Eligible Votes,34841
928,Kerkrade,Eligible Votes,23041
1598,Koggenland,Eligible Votes,13271
79,Kollumerland en Nieuwkruisland,Eligible Votes,7218
588,Korendijk,Eligible Votes,6764
542,Krimpen aan den IJssel,Eligible Votes,17280
1659,Laarbeek,Eligible Votes,12440
1685,Landerd,Eligible Votes,9138
882,Landgraaf,Eligible Votes,20920
415,Landsmeer,Eligible Votes,6467
416,Langedijk,Eligible Votes,16108
1621,Lansingerland,Eligible Votes,32247
417,Laren,Eligible Votes,7061
22,Leek,Eligible Votes,11483
545,Leerdam,Eligible Votes,11312
80,Leeuwarden,Eligible Votes,54428
81,Leeuwarderadeel,Eligible Votes,6413
546,Leiden,Eligible Votes,69041
547,Leiderdorp,Eligible Votes,16247
1916,Leidschendam-Voorburg,Eligible Votes,42803
995,Lelystad,Eligible Votes,38140
82,Lemsterland,Eligible Votes,7874
1640,Leudal,Eligible Votes,20619
327,Leusden,Eligible Votes,18429
694,Liesveld,Eligible Votes,5950
733,Lingewaal,Eligible Votes,6698
1705,Lingewaard,Eligible Votes,26818
553,Lisse,Eligible Votes,13657
140,Littenseradiel,Eligible Votes,6695
262,Lochem,Eligible Votes,21474
809,Loon op Zand,Eligible Votes,13163
331,Lopik,Eligible Votes,8192
24,Loppersum,Eligible Votes,6283
168,Losser,Eligible Votes,12720
1671,Maasdonk,Eligible Votes,6310
263,Maasdriel,Eligible Votes,14054
1641,Maasgouw,Eligible Votes,13665
556,Maassluis,Eligible Votes,18057
935,Maastricht,Eligible Votes,61957
25,Marum,Eligible Votes,5968
420,Medemblik,Eligible Votes,24978
938,Meerssen,Eligible Votes,11517
1908,Menameradiel,Eligible Votes,8300
1987,Menterwolde,Eligible Votes,7242
119,Meppel,Eligible Votes,19568
687,Middelburg,Eligible Votes,27930
559,Middelharnis,Eligible Votes,10803
1842,Midden-Delfland,Eligible Votes,11462
1731,Midden-Drenthe,Eligible Votes,20968
815,Mill en Sint Hubert,Eligible Votes,6679
265,Millingen aan de Rijn,Eligible Votes,3364
1709,Moerdijk,Eligible Votes,20418
1955,Montferland,Eligible Votes,20336
335,Montfoort,Eligible Votes,8276
944,Mook en Middelaar,Eligible Votes,4963
424,Muiden,Eligible Votes,4013
425,Naarden,Eligible Votes,10511
1740,Neder-Betuwe,Eligible Votes,13102
643,Nederlek,Eligible Votes,8902
946,Nederweert,Eligible Votes,9621
304,Neerijnen,Eligible Votes,7182
356,Nieuwegein,Eligible Votes,34435
569,Nieuwkoop,Eligible Votes,16063
571,Nieuw-Lekkerland,Eligible Votes,5519
267,Nijkerk,Eligible Votes,23857
268,Nijmegen,Eligible Votes,96548
1695,Noord-Beveland,Eligible Votes,4658
1699,Noordenveld,Eligible Votes,19437
171,Noordoostpolder,Eligible Votes,26059
575,Noordwijk,Eligible Votes,15342
576,Noordwijkerhout,Eligible Votes,9379
820,Nuenen Gerwen en Nederwetten,Eligible Votes,14187
302,Nunspeet,Eligible Votes,16582
951,Nuth,Eligible Votes,9463
579,Oegstgeest,Eligible Votes,14118
823,Oirschot,Eligible Votes,10572
824,Oisterwijk,Eligible Votes,15212
1895,Oldambt,Eligible Votes,22640
269,Oldebroek,Eligible Votes,13253
173,Oldenzaal,Eligible Votes,18908
1773,Olst-Wijhe,Eligible Votes,10525
175,Ommen,Eligible Votes,11046
881,Onderbanken,Eligible Votes,4729
1586,Oost Gelre,Eligible Votes,17408
826,Oosterhout,Eligible Votes,29830
580,Oostflakkee,Eligible Votes,6130
85,Ooststellingwerf,Eligible Votes,15482
431,Oostzaan,Eligible Votes,5501
432,Opmeer,Eligible Votes,6579
86,Opsterland,Eligible Votes,17848
828,Oss,Eligible Votes,46909
584,Oud-Beijerland,Eligible Votes,14065
1509,Oude IJsselstreek,Eligible Votes,23110
437,Ouder-Amstel,Eligible Votes,8124
644,Ouderkerk,Eligible Votes,5060
589,Oudewater,Eligible Votes,6044
1734,Overbetuwe,Eligible Votes,26676
590,Papendrecht,Eligible Votes,18631
1894,Peel en Maas,Eligible Votes,24564
765,Pekela,Eligible Votes,6929
1926,Pijnacker-Nootdorp,Eligible Votes,28176
439,Purmerend,Eligible Votes,43388
273,Putten,Eligible Votes,14840
177,Raalte,Eligible Votes,22072
703,Reimerswaal,Eligible Votes,12186
274,Renkum,Eligible Votes,19632
339,Renswoude,Eligible Votes,3016
1667,Reusel-De Mierden,Eligible Votes,7115
275,Rheden,Eligible Votes,26386
340,Rhenen,Eligible Votes,11480
597,Ridderkerk,Eligible Votes,26412
196,Rijnwaarden,Eligible Votes,6121
1672,Rijnwoude,Eligible Votes,11384
